"episode-number","episode-title","air-date","act-number","act-name","speaker-role","speaker-name","time-start","speaker-text"
"31","When You Talk About Music","1996-08-09","1","Act One. When You Talk Music","host","Ira Glass","00:00:00.07",""
"31","When You Talk About Music","1996-08-09","2","Act Two. A Brother Who Struggles To Be A Star","host","Ira Glass","00:00:27.43",""
"31","When You Talk About Music","1996-08-09","2","Act Two. A Brother Who Struggles To Be A Star","host","Ira Glass","00:00:38.30","Before we begin this story, two quick caveats. Number one, some of the language might not be suitable for younger listeners. Though, as you'll hear, we've beeped out the nastiest words. And, number two-- and usually I would never point something like this out-- you need to know that Dael is a woman, an African-American woman. And I point this out because, If I didn't, you wouldn't be able to enjoy what the audience in the theater with her gets to enjoy, which is the pleasure of watching her complete transformation into this loudmouthed, white guy. So here's Dael Orlandersmith."
"31","When You Talk About Music","1996-08-09","2","Act Two. A Brother Who Struggles To Be A Star","subject","Dael Orlandersmith","00:01:10.00"," Hey! Ah! Jerry! How you doin', buddy? How you doin'? Lorraine, you lookin' good honey. You lookin' so fine. Lenny! How's it going? All right."
"31","When You Talk About Music","1996-08-09","2","Act Two. A Brother Who Struggles To Be A Star","subject","Dael Orlandersmith","00:01:26.47","Johnny Black, nectar of the gods. Oh, man. I tell you, Len, today was [BLEEP]. Yeah, yeah. I know every day is [BLEEP]. But today was really [BLEEP], you know? So [BLEEP] busy."
"31","When You Talk About Music","1996-08-09","2","Act Two. A Brother Who Struggles To Be A Star","subject","Dael Orlandersmith","00:01:40.33","See, everybody I know who works in the fish market-- because my clothes are gettin' [BLEEP] ruined here-- everybody I know who works in the fish market, their clothes are [BLEEP] up."
"31","When You Talk About Music","1996-08-09","2","Act Two. A Brother Who Struggles To Be A Star","subject","Dael Orlandersmith","00:01:51.52","And I tell you, Len, I can't stand the thought of goin' home right now. I just can't. Theresa's gettin' fatter and fatter. It ain't 'cause she's pregnant because I don't touch this bitch."
"31","When You Talk About Music","1996-08-09","2","Act Two. A Brother Who Struggles To Be A Star","subject","Dael Orlandersmith","00:02:00.66","[LAUGHTER]"
"31","When You Talk About Music","1996-08-09","2","Act Two. A Brother Who Struggles To Be A Star","subject","Dael Orlandersmith","00:02:01.08"," Well, what? What? I'm cold for saying that? Why am I cold? Lenny, let me explain something. No, please wait. No, please, please listen to me. Lenny, I'm 31 years old. I'm married 12 years. I got seven kids. I'm a young man. I'm [BLEEP] trapped. And TT's the laziest bitch in the world. No, no, hear me out. Here she is, 28 years old, looking 50. The problem is? The problem is I married too quick."
"31","When You Talk About Music","1996-08-09","2","Act Two. A Brother Who Struggles To Be A Star","subject","Dael Orlandersmith","00:02:26.65","My cousin, Jimmy, says to me, he says, ""Anthony, don't get married so quick. You's two are young. Go out and get laid. Have a pisser."" But, of course, I don't listen, right? I don't listen. So this is what I am today."
"31","When You Talk About Music","1996-08-09","2","Act Two. A Brother Who Struggles To Be A Star","subject","Dael Orlandersmith","00:02:41.26","Come here. I wanna tell you something. Come here. I wanna tell you something. Come here [BLEEP]. Don't [BLEEP] with me. Come over here. Come over here."
"31","When You Talk About Music","1996-08-09","2","Act Two. A Brother Who Struggles To Be A Star","subject","Dael Orlandersmith","00:02:46.53","[LAUGHTER]"
"31","When You Talk About Music","1996-08-09","2","Act Two. A Brother Who Struggles To Be A Star","subject","Dael Orlandersmith","00:02:48.24"," I met this chick at my friend Manno's wedding. Yeah, it's a black chick. Yeah, right. Anthony Mancuso. Right. Same [BLEEP] guy from Red Hook. Right. Same guy. Right. He's been in here with me a few times. Right. He lives on 36th Avenue now, in Bensonhurst. Right. It's the same guy. Yeah. Yeah! It's the same [BLEEP] guy. Yeah, it's the same guy."
