"episode-number","episode-title","air-date","act-number","act-name","speaker-role","speaker-name","time-start","speaker-text"
"2","Small Scale Sin","1995-11-24","1","Prologue","host","Ira Glass","00:00:01.73","OK, three boys, aged 13, 15, and 16. All three chose to appear with fake names on this radio program. And the fake names they chose, you ready? K-Rad, Mr. Warez, and Fred. Those first two names come from the world of computer hacking and software piracy. Mr. Warez, for example, that's ""warez,"" as in ""wares,"" as in ""softwares,"" as in pirated softwares, illegal softwares. And as for Fred--"
"2","Small Scale Sin","1995-11-24","1","Prologue","subject","Fred","00:00:40.44","Why Fred? For no reason, man. There's got to be someone else named Fred out there."
"2","Small Scale Sin","1995-11-24","1","Prologue","host","Ira Glass","00:00:46.68",""
"2","Small Scale Sin","1995-11-24","1","Prologue","host","Ira Glass","00:01:18.19",""
"2","Small Scale Sin","1995-11-24","1","Prologue","host","Ira Glass","00:01:39.86","This was kind of an unpleasant McDonald's. Because it was in Times Square, they decided to have neon lights everywhere in this place. A crush of sweaty people at the counter, tourists, most of us. It was the middle of summer. Fred took charge."
"2","Small Scale Sin","1995-11-24","1","Prologue","subject","Fred","00:01:55.78","What do you guys want?"
"2","Small Scale Sin","1995-11-24","1","Prologue","subject","K-rad","00:01:57.88","I want a number one meal."
"2","Small Scale Sin","1995-11-24","1","Prologue","subject","Fred","00:01:59.70","OK, I'm paying for this. You're paying for my cab, OK? Whatever I can pay for. OK, we'll have a number one meal."
"2","Small Scale Sin","1995-11-24","1","Prologue","host","Ira Glass","00:02:06.31","They're actually in Manhattan for a computer hackers' convention this summer, and Fred was not used to the downtown prices."
"2","Small Scale Sin","1995-11-24","1","Prologue","subject","Fred","00:02:12.75","Oh my god. It's $5, man. You guys are chipping in. I can't pay for this."
"2","Small Scale Sin","1995-11-24","1","Prologue","host","Ira Glass","00:02:18.21","I think it's fair to say that one sign that your criminal career is not going so well is if you have to worry about the prices at McDonald's. But K-Rad, Mr. Warez, and Fred were involved in very low-level types of crimes. All of them involve computers. They pirated software. They scammed free CD-ROM games. They cheated one of the big online computer services out of a few hundred dollars in online time."
"2","Small Scale Sin","1995-11-24","1","Prologue","host","Ira Glass","00:02:43.97","All in all, they didn't steal very much. And they didn't steal very effectively. But they did try to steal. Take this phone scam, where they would call people at random and try to get a calling card number or a credit card number out of them."
"2","Small Scale Sin","1995-11-24","1","Prologue","subject","K-rad","00:02:58.25","Basically, the way it works is this. You call up somebody. You say, ""This is the AT&T operator. I have a priority collect call for--"" so-and-so's name. And the whole point is you have to sound like you're not calling somebody up with the intention of getting them. You have to sound like you've been sitting in this chair for 10 hours, and you want to go home."
"2","Small Scale Sin","1995-11-24","1","Prologue","subject","K-rad","00:03:17.65","So you got to go, ""This is the AT&T operator. I have a collect call for Paul. Will you accept charges, sir?"" ""Uh, yeah. I'll accept charges."" ""All right, hold on one second."""
"2","Small Scale Sin","1995-11-24","1","Prologue","subject","K-rad","00:03:25.35","Then you tap on the keyboard. You say, ""I'm sorry. You seem to have a restriction on your phone line. You can't accept collect calls to this line."" And then they yell, and they go, ""What do you mean, I can't accept collect calls to my line? I've been getting collect calls to this line for 20 years."""
"2","Small Scale Sin","1995-11-24","1","Prologue","subject","K-rad","00:03:37.79","And then, you've got to go, ""Sir, there's nothing I can do about it. My computer says you can't receive a collect call on this line. Would you like to try an alternate billing method?"" In which case they will proceed to either give you a calling card or a major credit card."
"2","Small Scale Sin","1995-11-24","1","Prologue","host","Ira Glass","00:03:48.42","And that, of course, is the idea behind the whole thing, to end up with a calling card number or a credit card number that is not your own, that you can use yourself. Now I should say that before you go out and try this yourselves, if you are thinking about doing this yourself right now, I should tell you one important fact. It doesn't work."
"2","Small Scale Sin","1995-11-24","1","Prologue","subject","K-rad","00:04:06.24","The reason it doesn't work is because a good percentage of people, after the point at which they go through the mind-boggling experience of not understanding what it means to have a restriction on your line, because nobody knows what that means, then they'll just say, ""Oh, this is too much trouble. Forget it. I won't accept the collect call."""
"2","Small Scale Sin","1995-11-24","1","Prologue","host","Ira Glass","00:04:22.00","The other scams these guys run don't do much better. They tried to hack their way into the mainframe system of a big computer retailer. But they were caught and stopped before they got very far. They are such unaccomplished computer hackers that Fred himself was actually the victim of computer hackers twice. Someone broke into Fred's account on one computer bulletin board and used his account and his electronic mail to visit some of the nether regions of the net."
"2","Small Scale Sin","1995-11-24","1","Prologue","subject","Fred","00:04:48.44","Remember, you talked to the guy on IRC. There's this weird guy. This guy was going on all these sex channels. And he was wrecking my name and stuff. It was awful."
"2","Small Scale Sin","1995-11-24","1","Prologue","subject","K-rad","00:04:57.73","You can't get pissed at him. I wouldn't get pissed at him, because that would be entirely hypocritical. I've said that if anybody ever steals one of my credit cards or ever hacks into my account or computer system, I will not care. And I will be perfectly allowable to that."
"2","Small Scale Sin","1995-11-24","1","Prologue","subject","K-rad","00:05:12.82","To go and say, ""I can't believe it. Somebody took my credit card."" Well, so what if I did it to everyone else? I'm perfectly willing to let someone do that to me."
